Date,CO,NO2,O3,PM2.5,PM10,SO2,O3_t1
2022-01-01 01:00:00 +01:00,1.1,29.0,5.0,137.0,156.0,17.0,
2022-01-01 02:00:00 +01:00,0.9,26.0,2.0,91.0,128.0,14.0,5.0
2022-01-01 03:00:00 +01:00,0.8,23.0,2.0,69.0,112.0,15.0,2.0
2022-01-01 04:00:00 +01:00,0.8,20.0,2.0,61.0,108.0,17.0,2.0
2022-01-01 05:00:00 +01:00,0.9,19.0,2.0,71.0,110.0,19.0,2.0
2022-01-01 06:00:00 +01:00,1.0,18.0,2.0,78.0,127.0,18.0,2.0
2022-01-01 07:00:00 +01:00,0.9,18.0,2.0,60.0,102.0,17.0,2.0
2022-01-01 08:00:00 +01:00,0.7,17.0,2.0,44.0,80.0,17.0,2.0
2022-01-01 09:00:00 +01:00,0.6,17.0,2.0,41.0,67.0,16.0,2.0
2022-01-01 10:00:00 +01:00,0.5,17.0,3.0,31.0,56.0,14.0,2.0
2022-01-01 11:00:00 +01:00,0.5,18.0,15.0,15.0,44.0,14.0,3.0
2022-01-01 12:00:00 +01:00,0.5,16.0,31.0,7.0,34.0,16.0,15.0
2022-01-01 13:00:00 +01:00,0.5,15.0,45.0,6.0,33.0,14.0,31.0
2022-01-01 14:00:00 +01:00,0.5,15.0,62.0,17.0,39.0,16.0,45.0
2022-01-01 15:00:00 +01:00,0.5,15.0,63.0,17.0,35.0,13.0,62.0
2022-01-01 16:00:00 +01:00,0.5,18.0,54.0,18.0,32.0,14.0,63.0
2022-01-01 17:00:00 +01:00,0.5,24.0,41.0,15.0,31.0,14.0,54.0
2022-01-01 18:00:00 +01:00,0.5,23.0,26.0,23.0,42.0,16.0,41.0
2022-01-01 19:00:00 +01:00,0.5,27.0,8.0,26.0,79.0,14.0,26.0
2022-01-01 20:00:00 +01:00,0.6,35.0,3.0,41.0,97.0,16.0,8.0
2022-01-01 21:00:00 +01:00,0.8,38.0,2.0,60.0,115.0,15.0,3.0
2022-01-01 22:00:00 +01:00,0.6,27.0,2.0,41.0,106.0,15.0,2.0
2022-01-01 23:00:00 +01:00,0.6,22.0,2.0,30.0,87.0,9.0,2.0
2022-01-02 00:00:00 +01:00,0.5,19.0,2.0,20.0,73.0,8.0,2.0
2022-01-02 01:00:00 +01:00,0.5,20.0,2.0,20.0,56.0,4.0,2.0
2022-01-02 02:00:00 +01:00,0.5,17.0,2.0,12.0,51.0,5.0,2.0
2022-01-02 03:00:00 +01:00,0.5,18.0,2.0,17.0,45.0,7.0,2.0
2022-01-02 04:00:00 +01:00,0.6,15.0,2.0,24.0,44.0,4.0,2.0
2022-01-02 05:00:00 +01:00,0.5,14.0,2.0,22.0,35.0,7.0,2.0
2022-01-02 06:00:00 +01:00,0.5,14.0,2.0,19.0,37.0,6.0,2.0
2022-01-02 07:00:00 +01:00,0.5,15.0,2.0,23.0,37.0,5.0,2.0
2022-01-02 08:00:00 +01:00,0.5,16.0,2.0,22.0,37.0,6.0,2.0
2022-01-02 09:00:00 +01:00,0.5,19.0,2.0,20.0,39.0,8.0,2.0
2022-01-02 10:00:00 +01:00,0.5,20.0,3.0,26.0,32.0,6.0,2.0
2022-01-02 11:00:00 +01:00,0.5,22.0,13.0,20.0,27.0,8.0,3.0
2022-01-02 12:00:00 +01:00,0.5,20.0,25.0,18.0,26.0,6.0,13.0
2022-01-02 13:00:00 +01:00,0.5,18.0,39.0,14.0,25.0,10.0,25.0
2022-01-02 14:00:00 +01:00,0.5,17.0,50.0,13.0,23.0,10.0,39.0
2022-01-02 15:00:00 +01:00,0.5,17.0,56.0,14.0,24.0,8.0,50.0
2022-01-02 16:00:00 +01:00,0.5,20.0,43.0,18.0,25.0,6.0,56.0
2022-01-02 17:00:00 +01:00,0.6,36.0,9.0,21.0,27.0,9.0,43.0
2022-01-02 18:00:00 +01:00,0.5,32.0,7.0,18.0,40.0,9.0,9.0
2022-01-02 19:00:00 +01:00,0.5,28.0,8.0,25.0,51.0,8.0,7.0
2022-01-02 20:00:00 +01:00,0.5,29.0,5.0,20.0,55.0,8.0,8.0
2022-01-02 21:00:00 +01:00,0.6,25.0,2.0,27.0,64.0,8.0,5.0
2022-01-02 22:00:00 +01:00,0.6,26.0,2.0,26.0,67.0,10.0,2.0
2022-01-02 23:00:00 +01:00,0.7,23.0,2.0,26.0,75.0,9.0,2.0
2022-01-03 00:00:00 +01:00,0.7,23.0,2.0,33.0,63.0,12.0,2.0
2022-01-03 01:00:00 +01:00,0.6,21.0,2.0,38.0,58.0,11.0,2.0
2022-01-03 02:00:00 +01:00,0.6,19.0,2.0,33.0,54.0,9.0,2.0
2022-01-03 03:00:00 +01:00,0.5,17.0,2.0,29.0,47.0,10.0,2.0
2022-01-03 04:00:00 +01:00,0.5,16.0,2.0,21.0,41.0,10.0,2.0
2022-01-03 05:00:00 +01:00,0.5,16.0,2.0,22.0,37.0,10.0,2.0
2022-01-03 06:00:00 +01:00,0.6,20.0,2.0,22.0,38.0,11.0,2.0
2022-01-03 07:00:00 +01:00,0.5,22.0,2.0,27.0,38.0,11.0,2.0
2022-01-03 08:00:00 +01:00,0.6,25.0,2.0,25.0,39.0,13.0,2.0
2022-01-03 09:00:00 +01:00,0.6,25.0,2.0,30.0,39.0,13.0,2.0
2022-01-03 10:00:00 +01:00,0.5,26.0,2.0,29.0,31.0,11.0,2.0
